goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023110107:59COL5,COL,3RD,1900-01-01 07:59:00,Bowen Byram,Nathan MacKinnon,None,20231101STL@COL,2023-11-01,2879
2023110108:53COL1,COL,1ST,1900-01-01 08:53:00,Ross Colton,Miles Wood,None,20231101STL@COL,2023-11-01,533
2023110109:35ANA2,ANA,1ST,1900-01-01 09:35:00,Troy Terry,Pavel Mintyukov,Cam Fowler,20231101ARI@ANA,2023-11-01,575
2023110110:00BUF3,BUF,1ST,1900-01-01 10:00:00,Brandon Biro,Tage Thompson,Jordan Greenway,20231101BUF@PHI,2023-11-01,600
2023110110:07DAL5,DAL,2ND,1900-01-01 10:07:00,Evgenii Dadonov,Nils Lundkvist,Jamie Benn,20231101DAL@CGY,2023-11-01,1807
2023110111:41ARI3,ARI,1ST,1900-01-01 11:41:00,Lawson Crouse,Janis Moser,Nick Bjugstad,20231101ARI@ANA,2023-11-01,701
2023110113:19COL2,COL,1ST,1900-01-01 13:19:00,Mikko Rantanen,Cale Makar,Nathan MacKinnon,20231101STL@COL,2023-11-01,799
2023110113:28BUF6,BUF,3RD,1900-01-01 13:28:00,Tage Thompson,Alex Tuch,None,20231101BUF@PHI,2023-11-01,3208
2023110114:25ARI5,ARI,2ND,1900-01-01 14:25:00,Lawson Crouse,Matias Maccelli,Juuso Valimaki,20231101ARI@ANA,2023-11-01,2065
2023110114:51ARI4,ARI,1ST,1900-01-01 14:51:00,Logan Cooley,Janis Moser,Liam O'Brien,20231101ARI@ANA,2023-11-01,891
2023110116:17PHI4,PHI,1ST,1900-01-01 16:17:00,Cam Atkinson,Travis Sanheim,None,20231101BUF@PHI,2023-11-01,977
2023110116:52BUF7,BUF,3RD,1900-01-01 16:52:00,Brandon Biro,Casey Mittelstadt,Peyton Krebs,20231101BUF@PHI,2023-11-01,3412
2023110117:49STL3,STL,2ND,1900-01-01 17:49:00,Robert Thomas,Kasperi Kapanen,Nick Leddy,20231101STL@COL,2023-11-01,2269
2023110119:06DAL2,DAL,1ST,1900-01-01 19:06:00,Jamie Benn,Roope Hintz,Esa Lindell,20231101DAL@CGY,2023-11-01,1146
2023110119:48DAL6,DAL,2ND,1900-01-01 19:48:00,Mason Marchment,Matt Duchene,Tyler Seguin,20231101DAL@CGY,2023-11-01,2388
2023110155.0PHI1,PHI,1ST,1900-01-01 00:55:00,Joel Farabee,Travis Sanheim,None,20231101BUF@PHI,2023-11-01,55
2023110201:03VAN5,VAN,2ND,1900-01-01 01:03:00,Ilya Mikheyev,Carson Soucy,Elias Pettersson,20231102VAN@SJ,2023-11-02,1263
2023110201:10MIN5,MIN,3RD,1900-01-01 01:10:00,Marco Rossi,Matt Boldy,Jonas Brodin,20231102NJ@MIN,2023-11-02,2470
2023110201:36BOS2,BOS,2ND,1900-01-01 01:36:00,Jake DeBrusk,Brad Marchand,Charlie Coyle,20231102TOR@BOS,2023-11-02,1296
2023110201:51WPG5,WPG,3RD,1900-01-01 01:51:00,Alex Iafallo,None,None,20231102WPG@LV,2023-11-02,2511
2023110202:23VAN1,VAN,1ST,1900-01-01 02:23:00,Brock Boeser,Elias Pettersson,Quinn Hughes,20231102VAN@SJ,2023-11-02,143
2023110202:31NJ3,NJ,2ND,1900-01-01 02:31:00,Timo Meier,None,None,20231102NJ@MIN,2023-11-02,1351
2023110202:37DAL5,DAL,3RD,1900-01-01 02:37:00,Roope Hintz,Joe Pavelski,Jason Robertson,20231102DAL@EDM,2023-11-02,2557
2023110202:41NYR1,NYR,1ST,1900-01-01 02:41:00,Chris Kreider,Artemi Panarin,None,20231102CAR@NYR,2023-11-02,161
2023110202:53TB2,TB,2ND,1900-01-01 02:53:00,Steven Stamkos,None,None,20231102TB@CLB,2023-11-02,1373
2023110202:59MON4,MON,3RD,1900-01-01 02:59:00,Brendan Gallagher,Tanner Pearson,Alex Newhook,20231102MON@ARI,2023-11-02,2579
2023110203:10VAN9,VAN,3RD,1900-01-01 03:10:00,Anthony Beauvillier,Carson Soucy,Filip Hronek,20231102VAN@SJ,2023-11-02,2590
2023110203:11LA1,LA,1ST,1900-01-01 03:11:00,Phillip Danault,Trevor Moore,Quinton Byfield,20231102LA@OTT,2023-11-02,191
2023110203:20NJ1,NJ,1ST,1900-01-01 03:20:00,Alexander Holtz,Nathan Bastian,None,20231102NJ@MIN,2023-11-02,200
2023110203:25DAL3,DAL,2ND,1900-01-01 03:25:00,Joe Pavelski,Roope Hintz,Miro Heiskanen,20231102DAL@EDM,2023-11-02,1405
2023110204:00VAN2,VAN,1ST,1900-01-01 04:00:00,J.T. Miller,Brock Boeser,Quinn Hughes,20231102VAN@SJ,2023-11-02,240
2023110204:09OTT5,OTT,3RD,1900-01-01 04:09:00,Josh Norris,Jacob Bernard-Docker,Vladimir Tarasenko,20231102LA@OTT,2023-11-02,2649
2023110204:42TB3,TB,2ND,1900-01-01 04:42:00,Conor Sheary,Steven Stamkos,Erik Cernak,20231102TB@CLB,2023-11-02,1482
2023110205:00BOS5,BOS,SHO,1900-01-01 05:00:00,Jake DeBrusk,None,None,20231102TOR@BOS,2023-11-02,4200
2023110205:00BOS6,BOS,SHO,1900-01-01 05:00:00,Charlie Coyle,None,None,20231102TOR@BOS,2023-11-02,4200
2023110205:00LA2,LA,2ND,1900-01-01 05:00:00,Carl Grundstrom,Adrian Kempe,None,20231102LA@OTT,2023-11-02,1500
2023110205:47LV6,LV,3RD,1900-01-01 05:47:00,Jonathan Marchessault,Ivan Barbashev,Alex Pietrangelo,20231102WPG@LV,2023-11-02,2747
2023110206:07ARI5,ARI,3RD,1900-01-01 06:07:00,Nick Schmaltz,Logan Cooley,Clayton Keller,20231102MON@ARI,2023-11-02,2767
2023110206:17ARI1,ARI,1ST,1900-01-01 06:17:00,Nick Schmaltz,None,None,20231102MON@ARI,2023-11-02,377
2023110206:17WPG2,WPG,2ND,1900-01-01 06:17:00,Kyle Connor,Alex Iafallo,Mark Scheifele,20231102WPG@LV,2023-11-02,1577
2023110206:29CLB1,CLB,1ST,1900-01-01 06:29:00,Kirill Marchenko,Dmitri Voronkov,Cole Sillinger,20231102TB@CLB,2023-11-02,389
2023110206:31TOR3,TOR,2ND,1900-01-01 06:31:00,Mitchell Marner,Auston Matthews,William Nylander,20231102TOR@BOS,2023-11-02,1591
2023110206:35NSH1,NSH,1ST,1900-01-01 06:35:00,Tommy Novak,Colton Sissons,Luke Evangelista,20231102NSH@SEA,2023-11-02,395
2023110206:41CLB4,CLB,3RD,1900-01-01 06:41:00,Boone Jenner,Zach Werenski,Damon Severson,20231102TB@CLB,2023-11-02,2801
2023110207:00LV3,LV,2ND,1900-01-01 07:00:00,Jonathan Marchessault,Mark Stone,Logan Thompson,20231102WPG@LV,2023-11-02,1620
2023110207:13MON2,MON,1ST,1900-01-01 07:13:00,Sean Monahan,Brendan Gallagher,None,20231102MON@ARI,2023-11-02,433
2023110207:34TOR4,TOR,2ND,1900-01-01 07:34:00,Auston Matthews,Calle Jarnkrok,William Lagesson,20231102TOR@BOS,2023-11-02,1654
2023110208:00VAN3,VAN,1ST,1900-01-01 08:00:00,Quinn Hughes,Filip Hronek,Sam Lafferty,20231102VAN@SJ,2023-11-02,480
2023110208:08DAL1,DAL,1ST,1900-01-01 08:08:00,Matt Duchene,Mason Marchment,Esa Lindell,20231102DAL@EDM,2023-11-02,488
2023110208:38LV4,LV,2ND,1900-01-01 08:38:00,Ivan Barbashev,Alex Pietrangelo,William Karlsson,20231102WPG@LV,2023-11-02,1718
2023110208:38SEA6,SEA,3RD,1900-01-01 08:38:00,Vince Dunn,Jaden Schwartz,Alex Wennberg,20231102NSH@SEA,2023-11-02,2918
2023110208:47VAN6,VAN,2ND,1900-01-01 08:47:00,Andrei Kuzmenko,Elias Pettersson,Mark Friedman,20231102VAN@SJ,2023-11-02,1727
2023110208:55LA3,LA,2ND,1900-01-01 08:55:00,Anze Kopitar,Andreas Englund,Adrian Kempe,20231102LA@OTT,2023-11-02,1735
2023110209:03MIN4,MIN,2ND,1900-01-01 09:03:00,Kirill Kaprizov,Calen Addison,Mats Zuccarello,20231102NJ@MIN,2023-11-02,1743
2023110209:24CLB5,CLB,3RD,1900-01-01 09:24:00,Erik Gudbranson,Emil Bemstrom,Adam Fantilli,20231102TB@CLB,2023-11-02,2964
2023110209:53CAR2,CAR,1ST,1900-01-01 09:53:00,Seth Jarvis,Sebastian Aho,Tony DeAngelo,20231102CAR@NYR,2023-11-02,593
2023110210:21NYR3,NYR,3RD,1900-01-01 10:21:00,Will Cuylle,Jacob Trouba,Barclay Goodrow,20231102CAR@NYR,2023-11-02,3021
2023110210:35EDM6,EDM,3RD,1900-01-01 10:35:00,Sam Gagner,None,None,20231102DAL@EDM,2023-11-02,3035
2023110210:41NYI2,NYI,1ST,1900-01-01 10:41:00,Simon Holmstrom,Hudson Fasching,Jean-Gabriel Pageau,20231102NYI@WAS,2023-11-02,641
2023110210:45LV1,LV,1ST,1900-01-01 10:45:00,William Karlsson,Pavel Dorofeyev,Ben Hutton,20231102WPG@LV,2023-11-02,645
2023110211:15NYI3,NYI,2ND,1900-01-01 11:15:00,Brock Nelson,Pierre Engvall,Scott Mayfield,20231102NYI@WAS,2023-11-02,1875
2023110211:58VAN10,VAN,3RD,1900-01-01 11:58:00,Anthony Beauvillier,Conor Garland,None,20231102VAN@SJ,2023-11-02,3118
2023110212:35VAN7,VAN,2ND,1900-01-01 12:35:00,Sam Lafferty,J.T. Miller,Quinn Hughes,20231102VAN@SJ,2023-11-02,1955
2023110213:36EDM7,EDM,3RD,1900-01-01 13:36:00,Sam Gagner,Evander Kane,None,20231102DAL@EDM,2023-11-02,3216
2023110215:21SEA2,SEA,1ST,1900-01-01 15:21:00,Oliver Bjorkstrand,Justin Schultz,Jared McCann,20231102NSH@SEA,2023-11-02,921
2023110215:23NJ2,NJ,1ST,1900-01-01 15:23:00,Michael McLeod,Ondrej Palat,Jesper Bratt,20231102NJ@MIN,2023-11-02,923
2023110215:36NJ6,NJ,3RD,1900-01-01 15:36:00,Jesper Bratt,Tyler Toffoli,Luke Hughes,20231102NJ@MIN,2023-11-02,3336
2023110216:06DAL4,DAL,2ND,1900-01-01 16:06:00,Roope Hintz,Joe Pavelski,Jamie Benn,20231102DAL@EDM,2023-11-02,2166
2023110216:12SJ11,SJ,3RD,1900-01-01 16:12:00,Fabian Zetterlund,Luke Kunin,Kevin Labanc,20231102VAN@SJ,2023-11-02,3372
2023110216:27MIN7,MIN,3RD,1900-01-01 16:27:00,Jacob Middleton,Matt Boldy,Marco Rossi,20231102NJ@MIN,2023-11-02,3387
2023110216:34NSH4,NSH,2ND,1900-01-01 16:34:00,Roman Josi,Tyson Barrie,Filip Forsberg,20231102NSH@SEA,2023-11-02,2194
2023110216:49VAN4,VAN,1ST,1900-01-01 16:49:00,Brock Boeser,Andrei Kuzmenko,J.T. Miller,20231102VAN@SJ,2023-11-02,1009
2023110216:58SEA5,SEA,2ND,1900-01-01 16:58:00,Brian Dumoulin,Justin Schultz,Tye Kartye,20231102NSH@SEA,2023-11-02,2218
2023110217:00EDM2,EDM,1ST,1900-01-01 17:00:00,Evander Kane,Ryan Nugent-Hopkins,None,20231102DAL@EDM,2023-11-02,1020
2023110217:08LV7,LV,3RD,1900-01-01 17:08:00,Jonathan Marchessault,None,None,20231102WPG@LV,2023-11-02,3428
2023110217:26VAN8,VAN,2ND,1900-01-01 17:26:00,Pius Suter,Quinn Hughes,None,20231102VAN@SJ,2023-11-02,2246
2023110217:41SEA3,SEA,1ST,1900-01-01 17:41:00,Jared McCann,Yanni Gourde,None,20231102NSH@SEA,2023-11-02,1061
2023110217:49CLB6,CLB,3RD,1900-01-01 17:49:00,Johnny Gaudreau,Ivan Provorov,Boone Jenner,20231102TB@CLB,2023-11-02,3469
2023110218:48FLA2,FLA,3RD,1900-01-01 18:48:00,Anton Lundell,Matthew Tkachuk,Dmitry Kulikov,20231102FLA@DET,2023-11-02,3528
2023110218:51BOS1,BOS,1ST,1900-01-01 18:51:00,Pavel Zacha,Brandon Carlo,Mason Lohrei,20231102TOR@BOS,2023-11-02,1131
2023110219:08FLA1,FLA,2ND,1900-01-01 19:08:00,Steven Lorentz,Niko Mikkola,None,20231102FLA@DET,2023-11-02,2348
2023110219:21ARI3,ARI,2ND,1900-01-01 19:21:00,Lawson Crouse,Matias Maccelli,Nick Bjugstad,20231102MON@ARI,2023-11-02,2361
