goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102108:55CLB1,CLB,1ST,08:55,2023-10-21,Justin Danforth,20231021CLB@MIN,David Jiricek,Mathieu Olivier,535
2023102113:26NSH6,NSH,3RD,13:26,2023-10-21,Luke Evangelista,20231021SJ@NSH,Dante Fabbro,None,3206
2023102110:33SJ5,SJ,3RD,10:33,2023-10-21,Tomas Hertl,20231021SJ@NSH,Mario Ferraro,Nikolai Knyzhov,3033
2023102102:47NSH4,NSH,3RD,02:47,2023-10-21,Tommy Novak,20231021SJ@NSH,Gustav Nyquist,Juuso Parssinen,2567
2023102102:18NSH3,NSH,2ND,02:18,2023-10-21,Kiefer Sherwood,20231021SJ@NSH,Luke Evangelista,Tyson Barrie,1338
2023102102:06NSH2,NSH,2ND,02:06,2023-10-21,Tommy Novak,20231021SJ@NSH,Kiefer Sherwood,Roman Josi,1326
2023102117:15NSH1,NSH,1ST,17:15,2023-10-21,Samuel Fagemo,20231021SJ@NSH,Gustav Nyquist,Alexandre Carrier,1035
2023102116:27PIT6,PIT,3RD,16:27,2023-10-21,Radim Zohorna,20231021PIT@STL,Lars Eller,Drew O'Connor,3387
2023102115:13STL5,STL,3RD,15:13,2023-10-21,Brandon Saad,20231021PIT@STL,Kasperi Kapanen,Robert Thomas,3313
2023102107:12STL4,STL,2ND,07:12,2023-10-21,Colton Parayko,20231021PIT@STL,Alexei Toropchenko,Oskar Sundqvist,1632
2023102105:39STL3,STL,2ND,05:39,2023-10-21,Jake Neighbours,20231021PIT@STL,Kasperi Kapanen,Justin Faulk,1539
2023102119:55PIT2,PIT,1ST,19:55,2023-10-21,Evgeni Malkin,20231021PIT@STL,Kris Letang,None,1195
2023102109:33STL1,STL,1ST,09:33,2023-10-21,Brandon Saad,20231021PIT@STL,Robert Thomas,Jordan Kyrou,573
2023102112:26CAR10,CAR,3RD,12:26,2023-10-21,Jaccob Slavin,20231021CAR@COL,Jesperi Kotkaniemi,Seth Jarvis,3146
2023102119:35COL9,COL,2ND,19:35,2023-10-21,Mikko Rantanen,20231021CAR@COL,Cale Makar,Artturi Lehkonen,2375
2023102115:57COL8,COL,2ND,15:57,2023-10-21,Nathan MacKinnon,20231021CAR@COL,Artturi Lehkonen,Valeri Nichushkin,2157
2023102114:10COL7,COL,2ND,14:10,2023-10-21,Artturi Lehkonen,20231021CAR@COL,Ryan Johansen,Cale Makar,2050
2023102112:21COL6,COL,2ND,12:21,2023-10-21,Frederik Olofsson,20231021CAR@COL,Logan O'Connor,Bowen Byram,1941
2023102110:42CAR5,CAR,2ND,10:42,2023-10-21,Michael Bunting,20231021CAR@COL,Martin Necas,Jaccob Slavin,1842
2023102109:17CAR4,CAR,2ND,09:17,2023-10-21,Brent Burns,20231021CAR@COL,Dmitry Orlov,Stefan Noesen,1757
2023102101:57COL3,COL,2ND,01:57,2023-10-21,Logan O'Connor,20231021CAR@COL,Andrew Cogliano,None,1317
2023102119:54COL2,COL,1ST,19:54,2023-10-21,Ryan Johansen,20231021CAR@COL,None,None,1194
2023102116:09CAR1,CAR,1ST,16:09,2023-10-21,Jesperi Kotkaniemi,20231021CAR@COL,Stefan Noesen,Jack Drury,969
2023102103:53WPG5,WPG,OVE,03:53,2023-10-21,Mark Scheifele,20231021WPG@EDM,Josh Morrissey,Kyle Connor,3833
2023102118:21WPG4,WPG,2ND,18:21,2023-10-21,Vladislav Namestnikov,20231021WPG@EDM,Alex Iafallo,None,2301
2023102110:18WPG3,WPG,1ST,10:18,2023-10-21,Josh Morrissey,20231021WPG@EDM,Dylan DeMelo,Morgan Barron,618
2023102106:11EDM2,EDM,1ST,06:11,2023-10-21,Evan Bouchard,20231021WPG@EDM,Leon Draisaitl,Connor McDavid,371
2023102101:25EDM1,EDM,1ST,01:25,2023-10-21,Darnell Nurse,20231021WPG@EDM,Connor McDavid,Leon Draisaitl,85
2023102105:30NYR5,NYR,3RD,05:30,2023-10-21,Artemi Panarin,20231021NYR@SEA,Filip Chytil,K'Andre Miller,2730
2023102117:59NYR4,NYR,2ND,17:59,2023-10-21,Alexis Lafreniere,20231021NYR@SEA,Filip Chytil,None,2279
2023102113:02NYR3,NYR,2ND,13:02,2023-10-21,Kaapo Kakko,20231021NYR@SEA,Jacob Trouba,K'Andre Miller,1982
2023102112:15NYR2,NYR,1ST,12:15,2023-10-21,Artemi Panarin,20231021NYR@SEA,Filip Chytil,None,735
2023102108:41SEA1,SEA,1ST,08:41,2023-10-21,Justin Schultz,20231021NYR@SEA,Brian Dumoulin,Eeli Tolvanen,521
2023102118:50LA6,LA,3RD,18:50,2023-10-21,Carl Grundstrom,20231021BOS@LA,Matt Roy,Trevor Lewis,3530
