"goalID","scorer","period","teamName","goalDate","gameID"
"2023101440.0SEA1",Jaden Schwartz,"2ND",Seattle Kraken,2023-10-14,"20231014SEA@STL"
"2023101441.0PIT3",Reilly Smith,"3RD",Pittsburgh Penguins,2023-10-14,"20231014CGY@PIT"
"2023101442.0EDM1",Leon Draisaitl,"1ST",Edmonton Oilers,2023-10-14,"20231014VAN@EDM"
"2023101450.0NYR1",Erik Gustafsson,"1ST",New York Rangers,2023-10-14,"20231014NYR@CLB"
"2023101501:00TB2",Anthony Cirelli,"2ND",Tampa Bay Lightning,2023-10-15,"20231015TB@OTT"
"2023101503:01CAR6",Teuvo Teravainen,"3RD",Carolina Hurricanes,2023-10-15,"20231015CAR@ANA"
"2023101506:52ANA1",Sam Carrick,"1ST",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101507:02OTT1",Vladimir Tarasenko,"1ST",Ottawa Senators,2023-10-15,"20231015TB@OTT"
"2023101508:31ANA2",Frank Vatrano,"1ST",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101508:48OTT3",Brady Tkachuk,"2ND",Ottawa Senators,2023-10-15,"20231015TB@OTT"
"2023101512:06ANA3",Pavel Mintyukov,"1ST",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101512:53OTT6",Brady Tkachuk,"3RD",Ottawa Senators,2023-10-15,"20231015TB@OTT"
"2023101513:00TB4",Tanner Jeannot,"2ND",Tampa Bay Lightning,2023-10-15,"20231015TB@OTT"
"2023101513:52CAR4",Teuvo Teravainen,"2ND",Carolina Hurricanes,2023-10-15,"20231015CAR@ANA"
"2023101515:29CAR7",Martin Necas,"3RD",Carolina Hurricanes,2023-10-15,"20231015CAR@ANA"
"2023101516:44ANA5",Frank Vatrano,"2ND",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101517:17OTT7",Tim Stutzle,"3RD",Ottawa Senators,2023-10-15,"20231015TB@OTT"
"2023101518:03ANA8",Cam Fowler,"3RD",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101518:41ANA9",Frank Vatrano,"3RD",Anaheim Ducks,2023-10-15,"20231015CAR@ANA"
"2023101519:01OTT5",Mathieu Joseph,"2ND",Ottawa Senators,2023-10-15,"20231015TB@OTT"
"2023101602:59CHI1",MacKenzie Entwistle,"2ND",Chicago Blackhawks,2023-10-16,"20231016CHI@TOR"
